learning_rate,max_depth,subsample,colsample_bytree,min_child_weight
0.04448626360998497,10,0.6428692824556655,0.8135457601925435,15
0.016498827787864,10,0.1819382408535332,0.762846673003946,10
0.03776607739379984,10,0.597246302055329,0.32521806796500563,14
0.019600376958718423,7,0.19988400570755854,0.9755440228787594,6
0.036547009969792134,12,0.7765990172898519,0.5837582400789032,20
0.09359399852809498,10,0.9908654577637712,0.5066525575272595,22
0.04478173371419574,5,0.8077007779527416,0.6779471317167165,14
0.02171447228796496,11,0.6825987708800281,0.05157126514801598,23
0.021713097122073154,14,0.7294377860404203,0.538900628419338,24
0.04205284017722229,6,0.19166345957430914,0.7853094843128308,19
