learning_rate,max_depth,subsample,colsample_bytree,min_child_weight
0.02364451735735278,7,0.6300293874447497,0.7382426974831237,6
0.020579505047292126,9,0.5736611893213861,0.6535953628590147,8
0.08017736557335764,4,0.2582287561617412,0.08747626305195448,12
0.017260870318440497,14,0.6337130854276708,0.6596937802292905,22
0.03193030491331602,5,0.6947572051972929,0.8295846666606971,23
0.05975163436211091,10,0.3490603705015914,0.9447466198839065,6
0.0978341315265073,12,0.777936248115445,0.9884043325117576,22
0.03313274769913653,9,0.10442757271030856,0.40994051900468464,5
0.09204366103779274,11,0.6038188119796898,0.6117876721562447,22
0.028296253822777,9,0.6220841842829593,0.3294532662015664,10

