learning_rate,max_depth,subsample,colsample_bytree,min_child_weight
0.05440471847786609,7,0.3881930733336195,0.6100837673901508,20
0.028928711467429664,4,0.6814599514898563,0.5043480967773245,19
0.04454184838440018,12,0.9252462152987115,0.3451908307578098,11
0.0262395032665771,7,0.8153827062799452,0.7262475941527007,22
0.01595325086594175,14,0.7071392054817669,0.6000112285661021,16
0.03086816755653853,8,0.5368340862393963,0.10249634072842496,11
0.0442068656149848,12,0.8409078238130738,0.5437890675519559,16
0.044086396002600135,10,0.733882849701425,0.36376816871624074,6
0.06267736616221536,10,0.9596726208475111,0.9649111659465235,23
0.04214059483864327,11,0.8549060841237146,0.35179110498287014,5

