FID IID mass
8794400 8794400 NA
8794400 8794400 29.4
8794438 8794438 34.3
8798279 8798279 28
8798279 8798279 NA
8798279 8798279 28.8
8798279 8798279 NA
8798279 8798279 NA
8798279 8798279 27.8
8798521 8798521 NA
8798521 8798521 29.2
8798521 8798521 33
8798521 8798521 33
8798521 8798521 NA
8798525 8798525 NA
8798525 8798525 32.3
8798525 8798525 33.2
8798525 8798525 33.2
8800005 8800005 30.9
8800012 8800012 29.9
8800021 8800021 33.2
8800022 8800022 28.6
8800023 8800023 32.5
8800025 8800025 32.7
8800027 8800027 38.2
8800027 8800027 32.8
8800028 8800028 29.3
8800028 8800028 31
8800029 8800029 33.9
8800029 8800029 33.7
8800031 8800031 31.2
8800035 8800035 32.3
8800038 8800038 33.2
8800038 8800038 30.3
8800042 8800042 33.7
8800042 8800042 33.5
8800043 8800043 31.6
8800043 8800043 30.7
8800044 8800044 35.6
8800045 8800045 31.2
8800046 8800046 33.2
8800046 8800046 35
8800046 8800046 32.3
8800047 8800047 33.7
8800047 8800047 NA
8800051 8800051 35.4
8800053 8800053 31.3
8800053 8800053 30.3
8800059 8800059 37.4
8800059 8800059 36.8
8800060 8800060 34.2
8800060 8800060 33.6
8800060 8800060 NA
8800061 8800061 31.7
8800061 8800061 31.2
8800063 8800063 28.4
8800066 8800066 27.1
8800073 8800073 30.3
8800074 8800074 32.4
8800074 8800074 31.9
8800074 8800074 30.9
8800075 8800075 32.2
8800075 8800075 31.9
8800077 8800077 31.7
8800077 8800077 29
8800077 8800077 28.1
8800077 8800077 26.6
8800090 8800090 30.9
8800090 8800090 30.8
8800090 8800090 31.8
8800090 8800090 30.4
8800090 8800090 31
8800090 8800090 29.6
8800090 8800090 32.6
8800091 8800091 34.4
8800091 8800091 34.8
8800091 8800091 35
8800091 8800091 33.8
8800094 8800094 32.1
8800095 8800095 35.5
8800095 8800095 35.7
8800095 8800095 32
8800101 8800101 32
8800102 8800102 28.5
8800102 8800102 29.1
8800102 8800102 29.8
8800102 8800102 25.9
8800102 8800102 30
8800103 8800103 30.5
8800103 8800103 32.5
8800104 8800104 34.3
8800104 8800104 39.2
8800104 8800104 30.5
8800104 8800104 37.8
8800104 8800104 35.4
8800104 8800104 NA
8800104 8800104 35.5
8800104 8800104 31.2
8800127 8800127 31
8800131 8800131 28.6
8800134 8800134 31.5
8800146 8800146 37
8800147 8800147 33.1
8800151 8800151 28.5
8800160 8800160 32
8800160 8800160 33.2
8800163 8800163 27.1
8800164 8800164 28
8800166 8800166 30.6
8800166 8800166 30.4
8800166 8800166 29.9
8800166 8800166 36.7
8800168 8800168 30.5
8800168 8800168 30.6
8800170 8800170 30
8800170 8800170 29.1
8800170 8800170 30
8800171 8800171 28.4
8800171 8800171 28.2
8800171 8800171 30.7
8800171 8800171 29
8800171 8800171 28.7
8800171 8800171 28.4
8800175 8800175 32
8800175 8800175 32
8800177 8800177 NA
8800177 8800177 33.3
8800178 8800178 35.7
8800178 8800178 33.1
8800178 8800178 33.7
8800179 8800179 30.4
8800179 8800179 30.5
8800179 8800179 30
8800181 8800181 34
8800185 8800185 30.8
8800185 8800185 32.3
8800185 8800185 32
8800185 8800185 33.6
8800185 8800185 33
8800196 8800196 31.1
8800196 8800196 31.4
8800196 8800196 28.2
8800199 8800199 32.9
8800303 8800303 33.4
8800307 8800307 32.8
8800307 8800307 32.7
8800307 8800307 31.8
8800307 8800307 31.7
8800314 8800314 32.5
8800314 8800314 32.4
8800321 8800321 32.2
8800321 8800321 30.8
8800330 8800330 30.7
8800330 8800330 28
8800330 8800330 26.9
8800331 8800331 34.1
8800334 8800334 27.3
8800336 8800336 30.2
8800337 8800337 28.3
8800338 8800338 29
8800339 8800339 27
8800339 8800339 29.4
8800340 8800340 32
8800340 8800340 34.8
8800341 8800341 30.3
8800341 8800341 33.3
8800341 8800341 29
8800352 8800352 29
8800352 8800352 28.8
8800353 8800353 29.5
8800353 8800353 31.8
8800353 8800353 31.8
8800354 8800354 31
8800355 8800355 31
8800355 8800355 28.1
8800356 8800356 35.3
8800368 8800368 32.5
8800368 8800368 31
8800371 8800371 30.7
8800371 8800371 36.3
8800372 8800372 32.3
8800375 8800375 33.2
8800375 8800375 36.6
8800375 8800375 37
8800375 8800375 38
8800375 8800375 39.4
8800376 8800376 32.2
8800376 8800376 36
8800390 8800390 31.9
8800390 8800390 31.4
8800390 8800390 32.9
8800390 8800390 31.4
8800391 8800391 34.2
8800391 8800391 33.7
8800395 8800395 31.5
8800395 8800395 32.5
8800395 8800395 31.9
8800395 8800395 31.2
8800395 8800395 30.6
8800402 8800402 32.1
8800404 8800404 33.3
8800405 8800405 32.5
8800405 8800405 32.5
8800405 8800405 32.4
8800416 8800416 33
8800416 8800416 35.3
8800416 8800416 32.5
8800416 8800416 31.1
8800416 8800416 29.6
8800417 8800417 32.6
8800417 8800417 32.1
8800422 8800422 29.1
8800422 8800422 29.3
8800422 8800422 32
8800424 8800424 32.6
8800426 8800426 28.2
8800427 8800427 29
8800427 8800427 27.7
8800428 8800428 33.8
8800428 8800428 32.4
8800428 8800428 31.1
8800428 8800428 32
8800434 8800434 NA
8800436 8800436 33.7
8800436 8800436 37
8800436 8800436 38.2
8800436 8800436 33.1
8800437 8800437 30.7
8800437 8800437 30.6
8800437 8800437 NA
8800437 8800437 30.3
8800439 8800439 30
8800440 8800440 32.3
8800440 8800440 34.8
8800440 8800440 35.8
8800440 8800440 35.6
8800441 8800441 32
8800450 8800450 33.3
8800450 8800450 NA
8800450 8800450 32.3
8800450 8800450 34.5
8800450 8800450 31
8800450 8800450 31.2
8800450 8800450 31.1
8800450 8800450 NA
8800450 8800450 34.5
8800459 8800459 32.5
8800467 8800467 30.8
8800467 8800467 31
8800468 8800468 28.1
8800468 8800468 31.5
8800469 8800469 28.6
8800469 8800469 30.8
8800469 8800469 31
8800469 8800469 30.3
8800470 8800470 36.3
8800470 8800470 29.6
8800477 8800477 35.6
8800477 8800477 35.1
8800477 8800477 30.4
8800478 8800478 33.5
8800482 8800482 30.4
8800482 8800482 30.3
8800482 8800482 30.2
8800482 8800482 30.7
8800482 8800482 30.3
8800488 8800488 29.6
8800488 8800488 30.2
8800488 8800488 29.5
8800488 8800488 29.8
8800488 8800488 29.1
8800488 8800488 30.9
8800488 8800488 34.9
8800488 8800488 NA
8800488 8800488 30
8800488 8800488 31.5
8800489 8800489 27.9
8800489 8800489 NA
8800489 8800489 27.9
8800489 8800489 29.2
8800489 8800489 30.1
8800489 8800489 30
8800490 8800490 36
8800490 8800490 29
8800490 8800490 32.8
8800495 8800495 30.1
8800495 8800495 32.1
8800495 8800495 32.5
8800495 8800495 32.5
8800495 8800495 31.6
8800495 8800495 33.2
8800495 8800495 30
8800495 8800495 31.2
8800495 8800495 31.3
8800495 8800495 30.9
8800495 8800495 32.3
8800495 8800495 33.7
8800495 8800495 NA
8800495 8800495 NA
8800497 8800497 34
8800497 8800497 36.8
8800497 8800497 33.2
8800497 8800497 31.9
8800512 8800512 28.5
8800512 8800512 33.1
8800512 8800512 30.9
8800515 8800515 32.1
8800519 8800519 37.3
8800528 8800528 30.2
8800528 8800528 30.6
8800529 8800529 29.6
8800529 8800529 30
8800533 8800533 29.8
8800533 8800533 29.5
8800533 8800533 30.5
8800535 8800535 29.5
8800535 8800535 32.9
8800537 8800537 32.2
8800538 8800538 32.4
8800538 8800538 32.1
8800538 8800538 31.5
8800547 8800547 32
8800547 8800547 33.2
8800547 8800547 31.1
8800547 8800547 32.9
8800547 8800547 32.2
8800547 8800547 34.5
8800548 8800548 34.2
8800548 8800548 33.4
8800550 8800550 35.5
8800550 8800550 32
8800550 8800550 32.4
8800550 8800550 33.6
8800550 8800550 29.5
8800550 8800550 29.7
8800567 8800567 34
8800568 8800568 32
8800570 8800570 30.5
8800573 8800573 27.9
8800574 8800574 35.2
8800574 8800574 35.5
8800580 8800580 32
8800580 8800580 33.6
8800580 8800580 34.2
8800580 8800580 29.5
8800581 8800581 33.7
8800592 8800592 31.4
8800606 8800606 29.6
8800612 8800612 30.5
8800613 8800613 30.4
8800613 8800613 32.4
8800614 8800614 32.3
8800614 8800614 NA
8800614 8800614 30.1
8800614 8800614 30.8
8800614 8800614 34.2
8800615 8800615 33.4
8800615 8800615 32.5
8800615 8800615 35
8800616 8800616 32.1
8800616 8800616 32.8
8800616 8800616 33.5
8800617 8800617 34.2
8800618 8800618 29.4
8800619 8800619 33.9
8800619 8800619 32.2
8800620 8800620 29.1
8800621 8800621 32.9
8800621 8800621 NA
8800621 8800621 31.9
8800621 8800621 32
8800621 8800621 38.9
8800622 8800622 32.6
8800622 8800622 29.7
8800622 8800622 NA
8800623 8800623 36
8800624 8800624 38.1
8800624 8800624 33.9
8800625 8800625 33.7
8800625 8800625 30.6
8800626 8800626 37.4
8800626 8800626 31.6
8800627 8800627 32.5
8800627 8800627 29.3
8800627 8800627 32.2
8800627 8800627 29.3
8800627 8800627 29.9
8800627 8800627 29.9
8800627 8800627 31.3
8800627 8800627 31.2
8800628 8800628 30.2
8800629 8800629 30.1
8800629 8800629 28.7
8800629 8800629 NA
8800629 8800629 29.6
8800630 8800630 31.1
8800630 8800630 29.2
8800630 8800630 32.1
8800630 8800630 32.1
8800631 8800631 29.5
8800631 8800631 31.3
8800631 8800631 NA
8800632 8800632 32.1
8800632 8800632 31.9
8800633 8800633 33.1
8800634 8800634 34.4
8800635 8800635 31.9
8800635 8800635 29.5
8800636 8800636 27.4
8800637 8800637 31.2
8800638 8800638 30.6
8800638 8800638 NA
8800638 8800638 33
8800639 8800639 32.1
8800639 8800639 31.1
8800639 8800639 NA
8800639 8800639 32.5
8800639 8800639 35.6
8800639 8800639 33.4
8800640 8800640 30.4
8800640 8800640 30.2
8800640 8800640 NA
8800641 8800641 31.4
8800641 8800641 30
8800642 8800642 32.6
8800642 8800642 31.9
8800643 8800643 32.4
8800644 8800644 28.5
8800644 8800644 28.1
8800644 8800644 NA
8800645 8800645 32.1
8800645 8800645 NA
8800645 8800645 30.4
8800645 8800645 31.2
8800645 8800645 34.8
8800645 8800645 NA
8800646 8800646 29.6
8800646 8800646 NA
8800647 8800647 28.1
8800648 8800648 33.4
8800648 8800648 32
8800648 8800648 32
8800648 8800648 31
8800649 8800649 32.4
8800649 8800649 31.9
8800650 8800650 37.8
8800650 8800650 30.6
8800650 8800650 NA
8800650 8800650 31.5
8800651 8800651 31.5
8800651 8800651 28.9
8800652 8800652 34.6
8800652 8800652 33.8
8800653 8800653 31.6
8800654 8800654 31
8800654 8800654 31
8800655 8800655 30.4
8800655 8800655 29.6
8800656 8800656 34.1
8800656 8800656 32.7
8800656 8800656 NA
8800656 8800656 36.6
8800657 8800657 30.5
8800657 8800657 29.3
8800657 8800657 33.6
8800658 8800658 34.5
8800658 8800658 29.9
8800659 8800659 32.1
8800660 8800660 31.5
8800661 8800661 29.6
8800662 8800662 31.9
8800663 8800663 28.9
8800663 8800663 27.5
8800664 8800664 33.2
8800665 8800665 30.9
8800666 8800666 28.3
8800667 8800667 31.6
8800668 8800668 34.6
8800669 8800669 34
8800670 8800670 31.7
8800670 8800670 29.1
8800671 8800671 32.4
8800671 8800671 29.8
8800671 8800671 34.2
8800672 8800672 27.4
8800672 8800672 30
8800672 8800672 30.6
8800672 8800672 27.5
8800673 8800673 30
8800674 8800674 31.4
8800674 8800674 30.1
8800675 8800675 31.1
8800676 8800676 NA
8800677 8800677 32
8800677 8800677 31.9
8800677 8800677 NA
8800678 8800678 35.1
8800679 8800679 29.5
8800679 8800679 NA
8800680 8800680 29.3
8800681 8800681 29.7
8800698 8800698 31.9
8800701 8800701 32.6
8800701 8800701 NA
8800701 8800701 30.5
8800702 8800702 32.3
8800702 8800702 NA
8800702 8800702 32.1
8800703 8800703 32.5
8800703 8800703 NA
8800704 8800704 32.8
8800705 8800705 31.5
8800705 8800705 29.6
8800706 8800706 31
8800706 8800706 NA
8800706 8800706 28.9
8800706 8800706 30
8800707 8800707 30.8
8800708 8800708 38.2
8800709 8800709 30.1
8800709 8800709 29.8
8800710 8800710 28
8800710 8800710 27.6
8800711 8800711 34
8800712 8800712 32.8
8800712 8800712 NA
8800712 8800712 31
8800713 8800713 33.6
8800714 8800714 28.2
8800715 8800715 31.2
8800715 8800715 NA
8800715 8800715 31.9
8800715 8800715 31.6
8800715 8800715 32.6
8800715 8800715 32.2
8800716 8800716 33.6
8800716 8800716 35.4
8800716 8800716 32.6
8800717 8800717 34
8800717 8800717 NA
8800718 8800718 32.5
8800718 8800718 NA
8800718 8800718 35.5
8800719 8800719 30.9
8800720 8800720 33
8800720 8800720 33
8800720 8800720 32.9
8800720 8800720 34.5
8800720 8800720 31.6
8800721 8800721 31
8800721 8800721 32.4
8800721 8800721 32.3
8800722 8800722 34.5
8800722 8800722 34.5
8800722 8800722 35.3
8800723 8800723 31.5
8800723 8800723 NA
8800724 8800724 31.8
8800724 8800724 30.2
8800725 8800725 31.5
8800725 8800725 NA
8800725 8800725 29.3
8800725 8800725 30.4
8800725 8800725 30.4
8800725 8800725 29.8
8800726 8800726 31.4
8800726 8800726 31.4
8800726 8800726 30.4
8800727 8800727 30.2
8800728 8800728 31.4
8800728 8800728 31
8800729 8800729 29.5
8800730 8800730 31.2
8800730 8800730 NA
8800730 8800730 31.9
8800730 8800730 32.8
8800730 8800730 32.7
8800731 8800731 32.2
8800731 8800731 NA
8800731 8800731 31.5
8800731 8800731 32.5
8800731 8800731 32.3
8800731 8800731 31.5
8800731 8800731 33.6
8800732 8800732 32.5
8800732 8800732 32.5
8800732 8800732 32
8800733 8800733 30.3
8800733 8800733 NA
8800734 8800734 31.3
8800734 8800734 31.3
8800735 8800735 29
8800735 8800735 29
8800736 8800736 35
8800737 8800737 30.9
8800738 8800738 31.3
8800739 8800739 29.8
8800739 8800739 28.5
8800740 8800740 32.1
8800740 8800740 28.5
8800741 8800741 30
8800742 8800742 29.3
8800742 8800742 28.7
8800743 8800743 31.5
8800743 8800743 29.9
8800744 8800744 32.8
8800744 8800744 31.9
8800744 8800744 31.4
8800745 8800745 36.2
8800745 8800745 NA
8800745 8800745 31.5
8800746 8800746 30.9
8800746 8800746 NA
8800747 8800747 32.4
8800747 8800747 NA
8800747 8800747 30.5
8800748 8800748 28.2
8800749 8800749 29.9
8800749 8800749 29.9
8800750 8800750 30.9
8800750 8800750 NA
8800751 8800751 31.2
8800751 8800751 NA
8800751 8800751 31.7
8800752 8800752 34.5
8800752 8800752 NA
8800753 8800753 33.3
8800753 8800753 NA
8800754 8800754 28.2
8800754 8800754 NA
8800754 8800754 31
8800755 8800755 NA
8800755 8800755 31.5
8800756 8800756 36
8800756 8800756 NA
8800756 8800756 35.4
8800756 8800756 36.7
8800756 8800756 36.2
8800757 8800757 30.8
8800757 8800757 30.3
8800758 8800758 28.4
8800758 8800758 NA
8800758 8800758 31
8800758 8800758 29.4
8800758 8800758 33.1
8800758 8800758 28.5
8800758 8800758 31
8800758 8800758 29
8800758 8800758 29
8800759 8800759 29.5
8800759 8800759 NA
8800760 8800760 34.3
8800760 8800760 NA
8800761 8800761 32
8800761 8800761 NA
8800762 8800762 30.6
8800762 8800762 29.5
8800763 8800763 31.5
8800764 8800764 29.4
8800764 8800764 29.4
8800765 8800765 31.6
8800765 8800765 NA
8800766 8800766 32.1
8800766 8800766 NA
8800767 8800767 30.2
8800767 8800767 NA
8800768 8800768 35.5
8800768 8800768 NA
8800769 8800769 28.8
8800769 8800769 28.7
8800770 8800770 31.2
8800770 8800770 31.2
8800770 8800770 30.5
8800771 8800771 31.5
8800771 8800771 NA
8800771 8800771 31.2
8800771 8800771 31.4
8800771 8800771 30.2
8800771 8800771 31.2
8800771 8800771 31.2
8800771 8800771 30.4
8800772 8800772 33
8800772 8800772 NA
8800772 8800772 31.8
8800773 8800773 NA
8800773 8800773 28
8800773 8800773 29.5
8800774 8800774 30.6
8800774 8800774 NA
8800774 8800774 31.5
8800777 8800777 26.3
8800777 8800777 NA
8800777 8800777 28.3
8800777 8800777 24.9
8800778 8800778 29.7
8800779 8800779 31
8800779 8800779 29.2
8800779 8800779 34
8800780 8800780 31.3
8800780 8800780 28.3
8800781 8800781 28
8800781 8800781 30.4
8800781 8800781 29.9
8800781 8800781 NA
8800782 8800782 31.3
8800782 8800782 30.2
8800782 8800782 31.5
8800782 8800782 32.6
8800782 8800782 32.2
8800782 8800782 33.1
8800783 8800783 30.6
8800784 8800784 30.5
8800784 8800784 29.4
8800785 8800785 30.5
8800785 8800785 29
8800785 8800785 NA
8800785 8800785 32
8800786 8800786 31.5
8800787 8800787 33
8800787 8800787 30.6
8800788 8800788 32
8800788 8800788 29.7
8800788 8800788 NA
8800788 8800788 33.5
8800788 8800788 33.1
8800788 8800788 33
8800789 8800789 33
8800790 8800790 29.4
8800791 8800791 29.5
8800791 8800791 29.8
8800792 8800792 32.4
8800792 8800792 29.5
8800793 8800793 34.1
8800793 8800793 NA
8800794 8800794 34.5
8800794 8800794 32.7
8800794 8800794 31.4
8800794 8800794 32.5
8800794 8800794 32.6
8800796 8800796 34
8800797 8800797 31.9
8800799 8800799 31
8800799 8800799 30.2
8800800 8800800 31.5
8800901 8800901 34
8800902 8800902 31.3
8800902 8800902 31.7
8800902 8800902 NA
8800903 8800903 32
8800903 8800903 30.9
8800904 8800904 31.8
8800905 8800905 30.4
8800905 8800905 29
8800905 8800905 NA
8800906 8800906 35.2
8800906 8800906 NA
8800906 8800906 32
8800906 8800906 NA
8800907 8800907 33.4
8800907 8800907 30.5
8800908 8800908 32.3
8800908 8800908 29.2
8800909 8800909 31.1
8800909 8800909 29.1
8800909 8800909 35
8800909 8800909 30.2
8800910 8800910 31.3
8800910 8800910 29.2
8800911 8800911 31.4
8800912 8800912 33.6
8800912 8800912 31.1
8800913 8800913 31.6
8800914 8800914 30.6
8800915 8800915 34.5
8800915 8800915 31.2
8800915 8800915 34.4
8800916 8800916 33
8800916 8800916 29.2
8800916 8800916 NA
8800917 8800917 37.7
8800918 8800918 40
8800919 8800919 33.7
8800920 8800920 32.7
8800921 8800921 36
8800922 8800922 30
8800924 8800924 32.3
8800925 8800925 31.3
8800926 8800926 32.7
8800926 8800926 30.6
8800926 8800926 28.7
8800927 8800927 38.5
8800928 8800928 31.1
8800928 8800928 29.1
8800929 8800929 30.3
8800929 8800929 28.5
8800929 8800929 31.5
8800929 8800929 NA
8800930 8800930 29.7
8800930 8800930 27.6
8800931 8800931 32.1
8800932 8800932 29.6
8800935 8800935 NA
8800935 8800935 36.8
8800935 8800935 33.1
8800935 8800935 29.7
8800935 8800935 32
8800935 8800935 30.3
8800935 8800935 32.5
8800935 8800935 31
8800935 8800935 32.7
8800935 8800935 32.1
8800935 8800935 33.6
8800936 8800936 30.3
8800936 8800936 29.8
8800936 8800936 30.9
8800936 8800936 31.5
8800936 8800936 31.8
8800937 8800937 32.4
8800937 8800937 32.4
8800937 8800937 32.3
8800937 8800937 33
8800951 8800951 31.4
8800951 8800951 30.1
8800951 8800951 29.5
8800951 8800951 29.1
8800951 8800951 33.9
8800951 8800951 29.7
8800951 8800951 29.7
8800952 8800952 34
8800952 8800952 30.1
8800952 8800952 30.9
8800952 8800952 30.6
8800952 8800952 30.6
8800952 8800952 29.8
8800953 8800953 34
8800953 8800953 33.4
8800953 8800953 34
8800953 8800953 31.8
8800956 8800956 38
8800957 8800957 32.6
8800957 8800957 29.7
8800958 8800958 30.5
8800959 8800959 38
8800960 8800960 32.4
8800960 8800960 31.5
8800961 8800961 35
8800961 8800961 32.8
8800961 8800961 34.3
8800961 8800961 33
8800962 8800962 32.4
8800963 8800963 31.4
8800964 8800964 35.5
8800965 8800965 30.2
8800966 8800966 29
8800967 8800967 29.5
8800967 8800967 28.6
8800967 8800967 32
8800967 8800967 28.7
8800967 8800967 29.1
8800967 8800967 31.5
8800967 8800967 31.5
8800967 8800967 30
8800967 8800967 30.7
8800967 8800967 29.2
8800967 8800967 29.9
8800967 8800967 33.1
8800968 8800968 30.6
8800969 8800969 32
8800970 8800970 37
8800971 8800971 29.4
8800971 8800971 29.4
8800972 8800972 33.5
8800973 8800973 29
8800975 8800975 30.8
8800976 8800976 32.2
8800977 8800977 30.9
8800977 8800977 NA
8800978 8800978 34.5
8800979 8800979 29
8800980 8800980 29.2
8800980 8800980 31.1
8800981 8800981 26.9
8800983 8800983 32.1
8800984 8800984 33.6
8800985 8800985 32.3
8800986 8800986 30.5
8800987 8800987 37.5
8800987 8800987 31.5
8800987 8800987 30.7
8800987 8800987 31.4
8800987 8800987 31.2
8800988 8800988 37.3
8800989 8800989 36
8800989 8800989 31.2
8800989 8800989 30.3
8800989 8800989 33.1
8800991 8800991 35
8800994 8800994 30.2
8800994 8800994 NA
8800995 8800995 34.5
8800997 8800997 31.5
8800997 8800997 32.2
8800998 8800998 33
8800999 8800999 29
8801000 8801000 32.6
8816401 8816401 30.2
8816401 8816401 29.6
8816401 8816401 31.4
8816401 8816401 31.4
8816401 8816401 30.5
8816403 8816403 29
8816403 8816403 30
8816403 8816403 34.6
8816403 8816403 30.3
8816408 8816408 29.8
8816409 8816409 33.5
8816409 8816409 NA
8816418 8816418 32
8816418 8816418 31.5
8816418 8816418 27.3
8816418 8816418 29.7
8816418 8816418 27.6
8816418 8816418 28.2
8816418 8816418 28.5
8816427 8816427 35.8
8816428 8816428 35.4
8816452 8816452 31.3
8816455 8816455 32.3
8816456 8816456 31.9
8816467 8816467 31.5
8816467 8816467 31.3
8816467 8816467 31.4
8816467 8816467 35
8816467 8816467 35.4
8816467 8816467 NA
8816467 8816467 32.4
8816467 8816467 32.3
8816486 8816486 30
8816486 8816486 31
8816486 8816486 NA
8816486 8816486 29.1
8816486 8816486 28.5
8816491 8816491 30.2
8816491 8816491 31.8
8816491 8816491 32.7
8816491 8816491 NA
8816491 8816491 30.1
8816495 8816495 30.5
8816495 8816495 32.6
8816496 8816496 29.1
8816496 8816496 29.6
8816496 8816496 29.5
8816497 8816497 32
8816901 8816901 31.4
8816901 8816901 29
8816901 8816901 29
8816901 8816901 34.2
8816906 8816906 30.4
8816918 8816918 34.2
8816918 8816918 35.4
8816918 8816918 30.7
8816918 8816918 33.4
8816918 8816918 33.6
8816919 8816919 32.4
8816919 8816919 32.8
8816921 8816921 37.6
8816921 8816921 37.6
8816929 8816929 37.7
8816929 8816929 38.4
8816929 8816929 39.6
8816929 8816929 31
8816929 8816929 30.5
8816930 8816930 31.2
8816930 8816930 30.5
8816930 8816930 29.6
8816930 8816930 29.9
8816930 8816930 30.5
8816931 8816931 NA
8816931 8816931 33.2
8816931 8816931 30.8
8816931 8816931 32.4
8816931 8816931 33.5
8816931 8816931 32.9
8816931 8816931 NA
8816931 8816931 32.4
8816932 8816932 32.5
8816932 8816932 32.5
8816932 8816932 32.4
8816936 8816936 29.5
8816936 8816936 31.9
8816937 8816937 31.8
8816937 8816937 30.3
8816940 8816940 30.6
8816940 8816940 30.9
8816942 8816942 28.7
8816942 8816942 30.4
8816942 8816942 30.9
8816942 8816942 29.6
8816942 8816942 30.3
8816942 8816942 30.3
8816942 8816942 30.4
8816943 8816943 28.9
8816943 8816943 28.7
8816943 8816943 28.2
8816943 8816943 31.1
8816943 8816943 32.9
8816947 8816947 36.7
8816947 8816947 37.2
8816947 8816947 31.9
8816947 8816947 32.7
8816947 8816947 33.1
8816947 8816947 33.7
8816947 8816947 NA
8816947 8816947 32.7
8816947 8816947 36.1
8816947 8816947 33.1
8816948 8816948 28
8816949 8816949 28.2
8816949 8816949 28
8816949 8816949 27.1
8816949 8816949 27.2
8816949 8816949 29
8816953 8816953 33
8816953 8816953 32.9
8816953 8816953 31
8816953 8816953 31.1
8816954 8816954 28.5
8816954 8816954 NA
8816954 8816954 27.7
8816954 8816954 27.3
8816954 8816954 27.2
8816954 8816954 29.6
8816954 8816954 29.6
8816955 8816955 29.9
8816955 8816955 32
8816955 8816955 NA
8816955 8816955 30.4
8816955 8816955 30.5
8816956 8816956 NA
8816956 8816956 29.4
8816956 8816956 29.2
8816957 8816957 30.4
8816957 8816957 29.7
8816957 8816957 31.3
8816959 8816959 NA
8816959 8816959 29.5
8816959 8816959 29.5
8816959 8816959 27.5
8816963 8816963 29.8
8816981 8816981 32.5
8816981 8816981 31.2
8816982 8816982 30.8
8816988 8816988 34.4
8816990 8816990 33.3
8816994 8816994 32.4
8816994 8816994 33.4
8816996 8816996 33.3
8816998 8816998 30.1
8816998 8816998 32.3
8816998 8816998 33
8857001 8857001 NA
8857002 8857002 NA
8857003 8857003 NA
8857004 8857004 NA
8857005 8857005 NA
8857006 8857006 NA
8857007 8857007 NA
8857008 8857008 NA
8857009 8857009 32.6
8857009 8857009 35
8857010 8857010 NA
8857011 8857011 NA
8857012 8857012 NA
8857013 8857013 NA
8857014 8857014 NA
8857015 8857015 NA
8857016 8857016 NA
8857017 8857017 NA
8857018 8857018 NA
8857019 8857019 NA
8857020 8857020 NA
8857021 8857021 NA
8857022 8857022 NA
8857023 8857023 NA
8857024 8857024 NA
8857025 8857025 NA
8857026 8857026 NA
8857027 8857027 NA
8857028 8857028 NA
8857028 8857028 NA
8857029 8857029 NA
8857030 8857030 NA
8857031 8857031 27.3
8857032 8857032 27.5
8857032 8857032 31
8857032 8857032 30.7
8857033 8857033 29.2
8857033 8857033 34.2
8857034 8857034 NA
8857035 8857035 NA
8857036 8857036 NA
8857037 8857037 NA
8857038 8857038 NA
8857038 8857038 NA
8857039 8857039 NA
8857040 8857040 NA
8857041 8857041 NA
8857042 8857042 NA
8857043 8857043 NA
8857044 8857044 NA
8857045 8857045 NA
8857046 8857046 NA
8857047 8857047 NA
8857048 8857048 NA
8857049 8857049 NA
8857050 8857050 NA
8857051 8857051 NA
8857052 8857052 NA
8857053 8857053 30.5
8857054 8857054 NA
8857055 8857055 NA
8857056 8857056 NA
8857057 8857057 NA
8857058 8857058 NA
8857059 8857059 NA
8857060 8857060 NA
8857061 8857061 30.2
8857062 8857062 NA
8857063 8857063 NA
8857064 8857064 NA
8857065 8857065 NA
8857066 8857066 NA
8857067 8857067 NA
8857068 8857068 NA
8857069 8857069 NA
8857070 8857070 NA
8857071 8857071 NA
8857072 8857072 NA
8857073 8857073 NA
8857074 8857074 NA
8857075 8857075 NA
8857076 8857076 NA
8857077 8857077 NA
8857078 8857078 NA
8857079 8857079 NA
8857080 8857080 NA
8857081 8857081 NA
8857082 8857082 NA
8857083 8857083 NA
8857084 8857084 NA
8857085 8857085 NA
8857086 8857086 NA
8857087 8857087 NA
8857088 8857088 NA
8857089 8857089 NA
8857090 8857090 NA
8857091 8857091 NA
8857092 8857092 NA
8857093 8857093 NA
8857094 8857094 NA
8857098 8857098 29.5
8857098 8857098 29.2
8857098 8857098 29.4
8857101 8857101 30.6
8857102 8857102 31
8857102 8857102 33
8857103 8857103 31.9
8857104 8857104 35
8857117 8857117 31.9
8857117 8857117 34.2
8857118 8857118 36
8857119 8857119 35.3
8857121 8857121 35.6
8857123 8857123 31.9
8857124 8857124 34.1
8857136 8857136 34.5
8857139 8857139 32.8
8857142 8857142 32
8857142 8857142 34
8857143 8857143 29.5
8857150 8857150 32.5
8857151 8857151 32.1
8857156 8857156 35.2
8857157 8857157 36.5
8857158 8857158 32.5
8857159 8857159 34.9
8857160 8857160 32
8857161 8857161 34
8857162 8857162 32.5
8857163 8857163 31.2
8857164 8857164 33.5
8857165 8857165 34.5
8857166 8857166 32
8857167 8857167 33.2
8857168 8857168 34.5
8857169 8857169 34.1
8857170 8857170 32.3
8857171 8857171 38.5
8857172 8857172 36.8
8857173 8857173 35.1
8857174 8857174 32.8
8857175 8857175 32
8857176 8857176 33.2
8857177 8857177 28.4
8857178 8857178 29.4
8857179 8857179 31.5
8857180 8857180 27.6
8857181 8857181 29.3
8857181 8857181 31.6
