FID IID mass
8414343 8414343 32.7
8414344 8414344 30.7
8414345 8414345 36.2
8414345 8414345 33.7
8414345 8414345 32.5
8414346 8414346 35.3
8414346 8414346 36.4
8414346 8414346 36.6
8414346 8414346 32.8
8414346 8414346 33
8414347 8414347 32.9
8414347 8414347 34.3
8414347 8414347 32.8
8414347 8414347 35.8
8414347 8414347 36.9
8414347 8414347 36.8
8414348 8414348 28.7
8414349 8414349 34.1
8414349 8414349 32.6
8414349 8414349 32
8414501 8414501 35.8
8414501 8414501 31.7
8414501 8414501 34.5
8414501 8414501 34.5
8414501 8414501 34.5
8414501 8414501 29.6
8414501 8414501 31.5
8414501 8414501 30.8
8414501 8414501 34.4
8414501 8414501 30.7
8414501 8414501 31.5
8414501 8414501 31.2
8414503 8414503 33.5
8414505 8414505 32.6
8414505 8414505 31.9
8414505 8414505 30.7
8414505 8414505 30.8
8414505 8414505 31.5
8414505 8414505 32.4
8414505 8414505 31.1
8414505 8414505 34.7
8414506 8414506 31.3
8414508 8414508 34.4
8414508 8414508 28.8
8414509 8414509 32
8414512 8414512 33.6
8414512 8414512 30.5
8414512 8414512 31.1
8414512 8414512 31.6
8414512 8414512 32.1
8414512 8414512 35.5
8414512 8414512 32.7
8414512 8414512 37.7
8414512 8414512 33
8414512 8414512 36.5
8414512 8414512 NA
8414512 8414512 32.7
8414512 8414512 34.4
8414517 8414517 28.2
8414517 8414517 30.3
8414517 8414517 NA
8414517 8414517 32.4
8414520 8414520 32
8414521 8414521 28.1
8414522 8414522 31.5
8414522 8414522 32.6
8414522 8414522 31.1
8414523 8414523 30.6
8414525 8414525 30
8414526 8414526 28.3
8414527 8414527 31.7
8414527 8414527 31.1
8414528 8414528 28.8
8414529 8414529 30.6
8414534 8414534 28.6
8414535 8414535 32.8
8414535 8414535 34.8
8414539 8414539 36.3
8414539 8414539 37.5
8414539 8414539 37.5
8414540 8414540 30.1
8414540 8414540 32.6
8414541 8414541 30.4
8414543 8414543 30.3
8414543 8414543 29.3
8414543 8414543 NA
8414543 8414543 30.3
8414545 8414545 34.2
8414552 8414552 30.7
8414553 8414553 32.7
8414553 8414553 34.2
8414554 8414554 32
8414555 8414555 27.8
8414556 8414556 30.6
8414557 8414557 30.3
8414558 8414558 29.8
8414558 8414558 29.1
8414559 8414559 31.1
8414560 8414560 29.3
8414561 8414561 36.2
8414562 8414562 33.1
8414562 8414562 34
8414562 8414562 34.8
8414562 8414562 NA
8414562 8414562 37.6
8414562 8414562 34.4
8414562 8414562 34.4
8414562 8414562 33.2
8414562 8414562 33.2
8414562 8414562 33.5
8414562 8414562 32.8
8414563 8414563 31.1
8414564 8414564 31.5
8414564 8414564 33.8
8414564 8414564 33.8
8414564 8414564 32.7
8414565 8414565 29.5
8414565 8414565 30.2
8414566 8414566 33.5
8414567 8414567 31.3
8414567 8414567 30.6
8414568 8414568 31.7
8414569 8414569 35.3
8414570 8414570 39
8414570 8414570 33.7
8414571 8414571 31.2
8414572 8414572 29.4
8414572 8414572 30.3
8414572 8414572 30.7
8414573 8414573 33.5
8414573 8414573 32.6
8414573 8414573 34.3
8414574 8414574 34
8414574 8414574 36.4
8414574 8414574 NA
8414574 8414574 44.2
8414574 8414574 35.5
8414575 8414575 33.7
8414575 8414575 31.3
8414575 8414575 31.2
8414576 8414576 32.8
8414576 8414576 34.1
8414576 8414576 35.3
8414582 8414582 34.7
8414582 8414582 30.4
8414582 8414582 30.4
8414582 8414582 30.9
8414587 8414587 31.2
8414588 8414588 34.5
8414589 8414589 34.7
8414590 8414590 32.6
8414590 8414590 39
8414590 8414590 34.3
8414591 8414591 30.7
8414591 8414591 31.3
8414591 8414591 32.2
8414592 8414592 28.7
8414592 8414592 28.8
8414593 8414593 32.7
8414593 8414593 31
8414593 8414593 NA
8414593 8414593 31.9
8414594 8414594 34.3
8414595 8414595 32.6
8414595 8414595 35.2
8414596 8414596 38.4
8414596 8414596 37.3
8414596 8414596 37.3
8414596 8414596 34.5
8414596 8414596 34.5
8414597 8414597 33.8
8414597 8414597 34.7
8414597 8414597 34.2
8414598 8414598 31
8414598 8414598 29.3
8414598 8414598 30.2
8414598 8414598 28.3
8414599 8414599 32.6
8414599 8414599 33.8
8414600 8414600 33.5
8414600 8414600 36
8414801 8414801 33.1
8414801 8414801 37.2
8414801 8414801 34.8
8414801 8414801 36.3
8414801 8414801 37
8414801 8414801 37
8414802 8414802 30.5
8414802 8414802 33.2
8414802 8414802 34
8414802 8414802 32
8414803 8414803 33.7
8414804 8414804 31.3
8414805 8414805 32.5
8414805 8414805 31.5
8414805 8414805 34.6
8414806 8414806 34
8414806 8414806 33
8414806 8414806 34.1
8414806 8414806 35.7
8414806 8414806 33.2
8414806 8414806 33.7
8414806 8414806 37.5
8414806 8414806 34
8414806 8414806 31.9
8414807 8414807 30
8414807 8414807 30.7
8414807 8414807 30.2
8414807 8414807 29.6
8414807 8414807 36.7
8414808 8414808 34.8
8414808 8414808 31.4
8414808 8414808 31.7
8414808 8414808 32.3
8414808 8414808 33.2
8414809 8414809 30
8414809 8414809 30.5
8414810 8414810 32.3
8414810 8414810 33.3
8414810 8414810 31.2
8414811 8414811 31.3
8414812 8414812 31.5
8414812 8414812 32.3
8414812 8414812 32.3
8414812 8414812 35.4
8414812 8414812 33.7
8414812 8414812 NA
8414812 8414812 31.7
8414813 8414813 31.3
8414813 8414813 31.3
8414813 8414813 NA
8414813 8414813 33.8
8414813 8414813 29.5
8414814 8414814 33.1
8414814 8414814 32.7
8414814 8414814 34.7
8414814 8414814 34
8414814 8414814 NA
8414814 8414814 33.6
8414815 8414815 30.8
8414815 8414815 39.5
8414815 8414815 31.2
8414815 8414815 33
8414815 8414815 31.9
8414815 8414815 30.5
8414816 8414816 33.2
8414816 8414816 31.4
8414816 8414816 32.8
8414816 8414816 NA
8414817 8414817 28.7
8414817 8414817 31.5
8414818 8414818 32.9
8414818 8414818 34.1
8414818 8414818 30.2
8414819 8414819 34
8414819 8414819 34.5
8414819 8414819 34.9
8414819 8414819 35.3
8414819 8414819 NA
8414820 8414820 31.7
8414820 8414820 32.3
8414820 8414820 33.8
8414820 8414820 32.4
8414820 8414820 32.1
8414820 8414820 32.2
8414820 8414820 NA
8414820 8414820 32.4
8414820 8414820 32.4
8414820 8414820 31.2
8414820 8414820 NA
8414820 8414820 34
8414821 8414821 32.7
8414821 8414821 32.2
8414821 8414821 34
8414822 8414822 32.7
8414822 8414822 27.9
8414822 8414822 30
8414823 8414823 30.7
8414823 8414823 31.8
8414823 8414823 32.5
8414823 8414823 36.2
8414823 8414823 36.2
8414823 8414823 31.5
8414823 8414823 33.4
8414824 8414824 32
8414824 8414824 30.8
8414825 8414825 31.2
8414825 8414825 32.3
8414826 8414826 33
8414826 8414826 33.4
8414826 8414826 35.8
8414826 8414826 35
8414826 8414826 33.3
8414826 8414826 36.3
8414826 8414826 NA
8414826 8414826 34.3
8414826 8414826 35.6
8414826 8414826 35.3
8414826 8414826 34.2
8414826 8414826 33.3
8414826 8414826 34.3
8414826 8414826 35.2
8414826 8414826 35.8
8414826 8414826 34.5
8414826 8414826 37.9
8414827 8414827 31.8
8414828 8414828 30.3
8414828 8414828 29.5
8414828 8414828 30.3
8414828 8414828 30.4
8414828 8414828 28.7
8414828 8414828 33.2
8414829 8414829 31.6
8414829 8414829 30.2
8414829 8414829 30.4
8414829 8414829 30
8414829 8414829 30.8
8414829 8414829 31.2
8414829 8414829 NA
8414829 8414829 31.8
8414829 8414829 31.9
8414829 8414829 30.5
8414829 8414829 30
8414829 8414829 30
8414829 8414829 32.8
8414829 8414829 31.4
8414829 8414829 33.3
8414829 8414829 NA
8414829 8414829 31.1
8414830 8414830 31.7
8414830 8414830 32.2
8414830 8414830 33.7
8414830 8414830 34.5
8414830 8414830 32.5
8414830 8414830 30.5
8414831 8414831 30.7
8414831 8414831 34.7
8414832 8414832 33
8414832 8414832 33.5
8414832 8414832 34.2
8414832 8414832 35
8414832 8414832 32.5
8414832 8414832 NA
8414832 8414832 33.1
8414833 8414833 31.3
8414833 8414833 39.3
8414833 8414833 32.8
8414833 8414833 34.3
8414833 8414833 33.1
8414833 8414833 32.3
8414833 8414833 35.4
8414834 8414834 31.6
8414834 8414834 33.6
8414834 8414834 35.2
8414834 8414834 33.6
8414835 8414835 31.8
8414835 8414835 33.5
8414836 8414836 31
8414836 8414836 30.5
8414837 8414837 31.5
8414837 8414837 33.2
8414837 8414837 32.5
8414837 8414837 33.5
8414837 8414837 NA
8414837 8414837 33.2
8414837 8414837 NA
8414837 8414837 33.6
8414837 8414837 32.3
8414837 8414837 32.6
8414837 8414837 37.5
8414837 8414837 33.7
8414837 8414837 34.6
8414838 8414838 30
8414838 8414838 33.2
8414839 8414839 30.7
8414839 8414839 31.4
8414839 8414839 33.6
8414839 8414839 30.5
8414840 8414840 31.7
8414840 8414840 34.5
8414840 8414840 33.8
8414840 8414840 34.6
8414840 8414840 34.6
8414840 8414840 31.4
8414840 8414840 NA
8414840 8414840 33.4
8414840 8414840 33.2
8414840 8414840 32.5
8414841 8414841 31
8414841 8414841 34.4
8414841 8414841 39
8414841 8414841 33.2
8414841 8414841 32.5
8414842 8414842 34.4
8414842 8414842 38.8
8414842 8414842 33.9
8414842 8414842 32.3
8414842 8414842 33.7
8414842 8414842 34.5
8414842 8414842 33.8
8414843 8414843 35
8414843 8414843 34.5
8414843 8414843 36.1
8414843 8414843 32.4
8414843 8414843 32.7
8414843 8414843 32.7
8414843 8414843 36.1
8414843 8414843 34.4
8414844 8414844 35
8414844 8414844 34.1
8414844 8414844 34.7
8414845 8414845 34.2
8414845 8414845 32.3
8414845 8414845 35.7
8414845 8414845 33.7
8414845 8414845 NA
8414845 8414845 33.8
8414845 8414845 34.2
8414845 8414845 32.6
8414845 8414845 33.2
8414845 8414845 34.6
8414845 8414845 37
8414846 8414846 33.3
8414846 8414846 32.3
8414846 8414846 32.3
8414846 8414846 33.3
8414847 8414847 32.2
8414847 8414847 33.5
8414848 8414848 31.3
8414848 8414848 35
8414848 8414848 29.8
8414849 8414849 34.2
8414849 8414849 33.4
8414849 8414849 31.4
8414849 8414849 34.1
8414850 8414850 30
8414850 8414850 31.2
8414850 8414850 28.8
8414850 8414850 32
8414851 8414851 31.7
8414851 8414851 31.3
8414851 8414851 33.9
8414851 8414851 30.8
8414852 8414852 33
8414852 8414852 32.5
8414852 8414852 31.9
8414852 8414852 37
8414853 8414853 32.3
8414853 8414853 31.4
8414853 8414853 32
8414853 8414853 32.8
8414853 8414853 34.2
8414854 8414854 33.3
8414855 8414855 31
8414855 8414855 32.6
8414855 8414855 36.4
8414855 8414855 31.4
8414855 8414855 37.5
8414855 8414855 29.5
8414855 8414855 33.2
8414855 8414855 36.1
8414856 8414856 31.2
8414856 8414856 37.1
8414856 8414856 32.5
8414856 8414856 37.5
8414857 8414857 29.3
8414858 8414858 29.8
8414858 8414858 30.6
8414858 8414858 31.6
8414858 8414858 33.1
8414858 8414858 31.8
8414859 8414859 31.5
8414860 8414860 31.4
8414861 8414861 31.4
8414861 8414861 35
8414861 8414861 32
8414861 8414861 36.7
8414861 8414861 31.3
8414861 8414861 32.6
8414861 8414861 33.5
8414862 8414862 31.6
8414862 8414862 34.2
8414862 8414862 34.4
8414862 8414862 34.6
8414862 8414862 33.6
8414863 8414863 31.6
8414864 8414864 27.2
8414864 8414864 28
8414865 8414865 31.7
8414865 8414865 31.7
8414865 8414865 33
8414866 8414866 31.4
8414866 8414866 33.3
8414866 8414866 33.6
8414866 8414866 35.2
8414866 8414866 33.5
8414867 8414867 28.5
8414868 8414868 30.3
8414868 8414868 32.7
8414868 8414868 33.9
8414868 8414868 33.5
8414868 8414868 33.7
8414868 8414868 33
8414869 8414869 28.3
8414869 8414869 33.3
8414869 8414869 32.3
8414870 8414870 30.3
8414870 8414870 31.8
8414871 8414871 25.2
8414871 8414871 28
8414871 8414871 29.2
8414872 8414872 26.5
8414873 8414873 27
