FID IID thr_wing
8414345 8414345 NA
8414345 8414345 76
8414346 8414346 79.5
8414346 8414346 NA
8414346 8414346 NA
8414346 8414346 NA
8414346 8414346 78
8414347 8414347 80.5
8414347 8414347 81
8414347 8414347 NA
8414347 8414347 80
8414347 8414347 82.7
8414347 8414347 82.61
8414348 8414348 79
8414349 8414349 81
8414349 8414349 NA
8414349 8414349 NA
8414501 8414501 77
8414501 8414501 NA
8414501 8414501 79
8414501 8414501 78
8414501 8414501 77
8414501 8414501 77
8414501 8414501 77
8414501 8414501 77.61
8414501 8414501 77
8414501 8414501 NA
8414501 8414501 78.64
8414501 8414501 78.09
8414503 8414503 86
8414505 8414505 85
8414505 8414505 84
8414505 8414505 NA
8414505 8414505 NA
8414505 8414505 NA
8414505 8414505 NA
8414505 8414505 85
8414505 8414505 85
8414506 8414506 79
8414508 8414508 81
8414508 8414508 80
8414509 8414509 80
8414512 8414512 81
8414512 8414512 NA
8414512 8414512 NA
8414512 8414512 81
8414512 8414512 81
8414512 8414512 81
8414512 8414512 81
8414512 8414512 80
8414512 8414512 81
8414512 8414512 77
8414512 8414512 NA
8414512 8414512 81
8414512 8414512 NA
8414517 8414517 76
8414517 8414517 76.64
8414517 8414517 NA
8414517 8414517 76
8414520 8414520 77
8414521 8414521 76
8414522 8414522 78
8414522 8414522 81
8414522 8414522 81
8414523 8414523 79
8414525 8414525 69
8414526 8414526 74
8414527 8414527 76
8414527 8414527 77.09
8414528 8414528 75
8414529 8414529 81.5
8414534 8414534 76.5
8414535 8414535 81
8414535 8414535 82
8414539 8414539 78
8414539 8414539 77
8414539 8414539 77.7
8414540 8414540 76.5
8414540 8414540 80
8414541 8414541 76.5
8414543 8414543 79.5
8414543 8414543 80
8414543 8414543 79.78
8414543 8414543 80.7
8414545 8414545 78
8414552 8414552 84.5
8414553 8414553 82
8414553 8414553 83
8414554 8414554 83
8414555 8414555 81.5
8414556 8414556 80
8414557 8414557 79
8414558 8414558 78.5
8414558 8414558 77
8414559 8414559 81.5
8414560 8414560 83
8414561 8414561 78
8414562 8414562 84
